"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","A","B","mk_pvalue","S","Class"
"169",62496,68055,60018,58453,58894,68035,68121,561.107142857146,61194.4285714286,0.76389059347054,3,"None"
"170",68055,60018,58453,58894,68035,68121,75819,1752.85714285715,58330.7142857142,0.22955621387892,9,"None"
"171",60018,58453,58894,68035,68121,75819,72262,2881.82142857143,54415.8571428571,0.0354981313206625,15,"Positive"
"172",58453,58894,68035,68121,75819,72262,62537,1670.42857142857,59621.2857142857,0.13312848419606,11,"None"
"173",58894,68035,68121,75819,72262,62537,60474,-75.5357142857107,66893.8571428571,1,1,"None"
"174",68035,68121,75819,72262,62537,60474,62091,-1657.42857142857,73678.1428571428,0.22955621387892,-9,"None"
"175",68121,75819,72262,62537,60474,62091,64511,-1788.35714285714,73698.4285714286,0.22955621387892,-9,"None"
"176",75819,72262,62537,60474,62091,64511,70571,-1131.85714285714,71422.4285714286,0.548005572361309,-5,"None"
"177",72262,62537,60474,62091,64511,70571,68442,308.750000000002,64606.1428571428,0.76389059347054,3,"None"
"178",62537,60474,62091,64511,70571,68442,73322,2027.53571428572,57882.4285714286,0.0354981313206625,15,"Positive"
"179",60474,62091,64511,70571,68442,73322,64916,1418.53571428572,60658.2857142857,0.0715054164448745,13,"None"
"180",62091,64511,70571,68442,73322,64916,54867,-646.821428571424,68118.7142857143,1,1,"None"
"181",64511,70571,68442,73322,64916,54867,56757,-2078.42857142856,73083.1428571428,0.367520738242143,-7,"None"
"182",70571,68442,73322,64916,54867,56757,66459,-1934.32142857143,72785,0.22955621387892,-9,"None"
"183",68442,73322,64916,54867,56757,66459,71854,-416.035714285712,66895.1428571429,1,-1,"None"
"184",73322,64916,54867,56757,66459,71854,67455,280.964285714285,63966.1428571429,0.76389059347054,3,"None"
"185",64916,54867,56757,66459,71854,67455,68721,1846,57048.7142857143,0.0715054164448745,13,"None"
"186",54867,56757,66459,71854,67455,68721,56182,1031.03571428572,59060.8571428571,0.367520738242143,7,"None"
"187",56757,66459,71854,67455,68721,56182,45548,-2046.92857142857,70041.4285714286,0.548005572361309,-5,"None"
"188",66459,71854,67455,68721,56182,45548,45529,-4524.10714285714,78346.1428571428,0.0715054164448745,-13,"None"
"189",71854,67455,68721,56182,45548,45529,58801,-3792.28571428571,74324.8571428571,0.0715054164448745,-13,"None"
"190",67455,68721,56182,45548,45529,58801,54456,-2481.78571428571,66597.4285714286,0.22955621387892,-9,"None"
"191",68721,56182,45548,45529,58801,54456,59358,-653.142857142856,58126.1428571428,1,-1,"None"
"192",56182,45548,45529,58801,54456,59358,59295,1638.78571428571,47611.8571428572,0.22955621387892,9,"None"
"193",45548,45529,58801,54456,59358,59295,54121,1921.71428571429,46185.7142857143,0.367520738242143,7,"None"
"194",45529,58801,54456,59358,59295,54121,45751,-137.678571428569,54452.2857142857,1,-1,"None"
"195",58801,54456,59358,59295,54121,45751,47627,-2006.03571428571,62225.4285714286,0.13312848419606,-11,"None"
"196",54456,59358,59295,54121,45751,47627,47995,-2013.89285714285,60713.1428571428,0.13312848419606,-11,"None"
"197",59358,59295,54121,45751,47627,47995,56055,-1392.96428571428,58457.8571428571,0.367520738242143,-7,"None"
"198",59295,54121,45751,47627,47995,56055,51314,-636.821428571425,54284.1428571428,1,-1,"None"
"199",54121,45751,47627,47995,56055,51314,65340,1900.39285714286,44998.8571428571,0.13312848419606,11,"None"
"200",45751,47627,47995,56055,51314,65340,46918,1508.78571428572,45536.2857142857,0.22955621387892,9,"None"
"201",47627,47995,56055,51314,65340,46918,39195,-648.749999999997,53229.8571428571,0.76389059347054,-3,"None"
"202",47995,56055,51314,65340,46918,39195,36675,-2574.14285714285,59366.8571428571,0.13312848419606,-11,"None"
"203",56055,51314,65340,46918,39195,36675,45034,-3160.21428571428,61288.1428571428,0.0715054164448745,-13,"None"
"204",51314,65340,46918,39195,36675,45034,47359,-2240,56365,0.367520738242143,-7,"None"
"205",65340,46918,39195,36675,45034,47359,43843,-2063.21428571429,54590.5714285714,0.548005572361309,-5,"None"
"206",46918,39195,36675,45034,47359,43843,48747,909.535714285715,40329.1428571429,0.367520738242143,7,"None"
"207",39195,36675,45034,47359,43843,48747,43067,1234.60714285714,38478.7142857143,0.367520738242143,7,"None"
"208",36675,45034,47359,43843,48747,43067,34264,-349.249999999996,44109.7142857143,0.76389059347054,-3,"None"
"209",45034,47359,43843,48747,43067,34264,36654,-1860.92857142857,50153.4285714285,0.13312848419606,-11,"None"
"210",47359,43843,48747,43067,34264,36654,40168,-1801.21428571428,49219.4285714286,0.13312848419606,-11,"None"
"211",43843,48747,43067,34264,36654,40168,45359,-679.392857142855,44446.4285714286,0.76389059347054,-3,"None"
"212",48747,43067,34264,36654,40168,45359,45230,-2.24999999999697,41936,1,1,"None"
"213",43067,34264,36654,40168,45359,45230,46983,1513.75,35620,0.0715054164448745,13,"None"
"214",34264,36654,40168,45359,45230,46983,42695,1821.89285714286,34334.2857142857,0.0715054164448745,13,"None"
"215",36654,40168,45359,45230,46983,42695,34400,-2.99999999999748,41653.2857142857,1,1,"None"
"216",40168,45359,45230,46983,42695,34400,35513,-1372.07142857143,46966.5714285714,0.367520738242143,-7,"None"
"217",45359,45230,46983,42695,34400,35513,41729,-1532.39285714285,47830.8571428571,0.13312848419606,-11,"None"
"218",45230,46983,42695,34400,35513,41729,41005,-1084.46428571428,45417.1428571429,0.22955621387892,-9,"None"
"219",46983,42695,34400,35513,41729,41005,44192,-157.999999999998,41563,1,-1,"None"
"220",42695,34400,35513,41729,41005,44192,50460,1727.53571428572,34517.5714285714,0.13312848419606,11,"None"
"221",34400,35513,41729,41005,44192,50460,43001,2077.14285714286,33162.8571428571,0.0354981313206625,15,"Positive"
"222",35513,41729,41005,44192,50460,43001,31311,-21.6785714285686,41116.8571428571,0.76389059347054,3,"None"
"223",41729,41005,44192,50460,43001,31311,23508,-2687.21428571428,50064,0.367520738242143,-7,"None"
"224",41005,44192,50460,43001,31311,23508,27469,-3611.60714285714,51724.4285714286,0.13312848419606,-11,"None"
"225",44192,50460,43001,31311,23508,27469,33911,-3439.92857142857,50024.2857142857,0.13312848419606,-11,"None"
"226",50460,43001,31311,23508,27469,33911,36173,-2317.25,44388,0.548005572361309,-5,"None"
"227",43001,31311,23508,27469,33911,36173,47724,1224.85714285714,29828.7142857143,0.367520738242143,7,"None"
"228",31311,23508,27469,33911,36173,47724,41126,3092.17857142857,22091.5714285714,0.0354981313206625,15,"Positive"
"229",23508,27469,33911,36173,47724,41126,34297,2624.78571428571,24387.7142857143,0.0715054164448745,13,"None"
"230",27469,33911,36173,47724,41126,34297,34426,949.857142857142,32647.1428571429,0.367520738242143,7,"None"
"231",33911,36173,47724,41126,34297,34426,39556,0.500000000002451,38171.2857142857,0.76389059347054,3,"None"
"232",36173,47724,41126,34297,34426,39556,38924,-527.964285714286,41001.2857142857,0.76389059347054,-3,"None"
"233",47724,41126,34297,34426,39556,38924,45225,-237.214285714286,41131.4285714286,1,-1,"None"
"234",41126,34297,34426,39556,38924,45225,49243,1810.89285714286,33156,0.13312848419606,11,"None"
"235",34297,34426,39556,38924,45225,49243,42154,2102.64285714286,32135.8571428571,0.0354981313206625,15,"Positive"
"236",34426,39556,38924,45225,49243,42154,38404,980.32142857143,37211.8571428571,0.548005572361309,5,"None"
"237",39556,38924,45225,49243,42154,38404,52039,1190.64285714286,38886.7142857143,0.548005572361309,5,"None"
"238",38924,45225,49243,42154,38404,52039,39850,198.821428571432,42896,1,1,"None"
"239",45225,49243,42154,38404,52039,39850,39072,-977.142857142853,47621,0.367520738242143,-7,"None"
"240",49243,42154,38404,52039,39850,39072,47103,-397.785714285712,45571.8571428571,0.76389059347054,-3,"None"
"241",42154,38404,52039,39850,39072,47103,48275,814.07142857143,40586.1428571428,0.548005572361309,5,"None"
"242",38404,52039,39850,39072,47103,48275,44649,659.285714285717,41561.7142857143,0.548005572361309,5,"None"
"243",52039,39850,39072,47103,48275,44649,37544,-881.571428571427,47602.2857142857,0.367520738242143,-7,"None"
"244",39850,39072,47103,48275,44649,37544,33255,-903.392857142853,45006.1428571428,0.367520738242143,-7,"None"
"245",39072,47103,48275,44649,37544,33255,43420,-906.53571428571,45528.7142857143,0.367520738242143,-7,"None"
"246",47103,48275,44649,37544,33255,43420,39431,-1575.71428571429,48256.7142857143,0.13312848419606,-11,"None"
"247",48275,44649,37544,33255,43420,39431,45654,-443.678571428569,43521.5714285714,0.76389059347054,-3,"None"
"248",44649,37544,33255,43420,39431,45654,54858,1893.67857142857,35112.5714285714,0.22955621387892,9,"None"
"249",37544,33255,43420,39431,45654,54858,48595,2806.89285714286,32023.4285714286,0.0354981313206625,15,"Positive"
"250",33255,43420,39431,45654,54858,48595,35767,1189.75,38238.1428571429,0.367520738242143,7,"None"
"251",43420,39431,45654,54858,48595,35767,39466,-580.321428571426,46205.7142857143,1,-1,"None"
"252",39431,45654,54858,48595,35767,39466,45200,-505.71428571428,46161.5714285714,1,-1,"None"
"253",45654,54858,48595,35767,39466,45200,51081,-434.428571428571,47540.7142857143,1,-1,"None"
"254",54858,48595,35767,39466,45200,51081,58593,914.642857142858,43992.8571428571,0.548005572361309,5,"None"
"255",48595,35767,39466,45200,51081,58593,56358,2877,36357.7142857143,0.0715054164448745,13,"None"
"256",35767,39466,45200,51081,58593,56358,54959,3741.17857142857,33810.1428571429,0.0354981313206625,15,"Positive"
"257",39466,45200,51081,58593,56358,54959,45902,1575.10714285715,43922.2857142857,0.367520738242143,7,"None"
"258",45200,51081,58593,56358,54959,45902,41873,-856.178571428566,53991.2857142857,0.548005572361309,-5,"None"
"259",51081,58593,56358,54959,45902,41873,52235,-1444.07142857142,57347.8571428571,0.22955621387892,-9,"None"
"260",58593,56358,54959,45902,41873,52235,59777,-634.999999999995,55353.8571428571,0.548005572361309,-5,"None"
"261",56358,54959,45902,41873,52235,59777,64860,1481.25,47784.1428571429,0.548005572361309,5,"None"
"262",54959,45902,41873,52235,59777,64860,69169,3516.07142857143,41475,0.0715054164448745,13,"None"
"263",45902,41873,52235,59777,64860,69169,56711,3558.71428571429,41554.7142857143,0.0715054164448745,13,"None"
"264",41873,52235,59777,64860,69169,56711,49351,1456.35714285714,50456.8571428571,0.548005572361309,5,"None"
"265",52235,59777,64860,69169,56711,49351,67775,629.25,57465.5714285714,0.76389059347054,3,"None"
"266",59777,64860,69169,56711,49351,67775,61966,-265.035714285714,62432.8571428572,1,-1,"None"
"267",64860,69169,56711,49351,67775,61966,63257,-291.107142857143,63034.2857142857,0.76389059347054,-3,"None"
