"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"112",20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,-160.632467532468,23501.0047619048,0.0852100829937604,-58,"None"
"113",26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,-204.109090909091,23952.4380952381,0.0320343717059257,-72,"None"
"114",24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,-131.854545454546,22911.4952380952,0.138966893956733,-50,"None"
"115",24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,-33.7584415584414,21863.5333333333,0.694644497461478,-14,"None"
"116",18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,0.0246753246754998,21349.1095238095,1,0,"None"
"117",22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,-87.2272727272726,22287.5952380952,0.290560755378769,-36,"None"
"118",21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,-119.993506493506,22421.6904761905,0.174190482700077,-46,"None"
"119",22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,-156.642857142857,22699.9285714286,0.0654733584595351,-62,"None"
"120",25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,-130.34025974026,22335.0285714286,0.123549865896804,-52,"None"
"121",23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,-31.8610389610392,21126.3761904762,0.566142727568169,-20,"None"
"122",21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,62.4012987012984,20147.1095238095,0.694644497461478,14,"None"
"123",20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,123.190909090909,19673.4714285714,0.31900803011513,34,"None"
"124",18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,82.4337662337659,20068.5142857143,0.487350390335321,24,"None"
"125",19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,34.5272727272724,20650.0571428572,0.785797106178966,10,"None"
"126",18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,49.102597402597,20681.1571428572,0.650581986958389,16,"None"
