"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","A","B","mk_pvalue","S","Class"
"112",20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,-87.2760869565218,22895.4927536232,0.264337332508495,-46,"None"
"113",26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,-108.901304347826,23197.1413043478,0.172491361484953,-56,"None"
"114",24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,-93.9465217391305,22639.2898550725,0.188633153036948,-54,"None"
"115",24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,-96.5517391304349,22375.6050724638,0.172491361484953,-56,"None"
"116",18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,-91.8956521739133,22076.7789855073,0.188633153036948,-54,"None"
"117",22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,-117.957826086957,22517.0144927536,0.0782193445501054,-72,"None"
"118",21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,-82.4069565217393,22103.5869565217,0.243692510127905,-48,"None"
"119",22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,-45.2047826086957,21799.3514492754,0.441931012011212,-32,"None"
"120",25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,10.431304347826,21208.5253623188,0.940681598665201,-4,"None"
"121",23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,34.6426086956522,20621.8007246377,0.862155608227145,8,"None"
"122",21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,50.5578260869563,20262.9855072464,0.67326236331124,18,"None"
"123",20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,80.6673913043478,19993.1992753623,0.385309974990906,36,"None"
"124",18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,131.133913043478,19653.9094202899,0.157405663974874,58,"None"
"125",19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,174.973913043478,19516.4094202899,0.0965338291080209,68,"None"
"126",18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,251.24652173913,19059.3768115942,0.0445205240876462,82,"Positive"
"127",22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,312.262608695652,18868.384057971,0.0272727365578644,90,"Positive"
"128",24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,331.138260869565,18750.1884057971,0.0122366701240079,102,"Positive"
"129",23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,440.956956521739,17697.3297101449,0.00137538256122597,130,"Positive"
"130",18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,584.239565217391,16466.4637681159,0.00012070863998034,156,"Positive"
"131",17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,653.301739130434,16306.8115942029,5.2745128282932e-05,164,"Positive"
"132",21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,735.259999999999,16235.8333333333,5.2745128282932e-05,164,"Positive"
"133",19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,898.27652173913,15218.5434782609,8.99638362286977e-06,180,"Positive"
