"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"166",43084,60654,60120,62496,68055,60018,58453,58894,68035,68121,75819,72262,62537,60474,1042.07472527473,54971.7252747253,0.100518173207465,31,"None"
"167",60654,60120,62496,68055,60018,58453,58894,68035,68121,75819,72262,62537,60474,62091,372.621978021976,61350.2637362638,0.381074481609294,17,"None"
"168",60120,62496,68055,60018,58453,58894,68035,68121,75819,72262,62537,60474,62091,64511,267.995604395603,62410.4615384616,0.381074481609294,17,"None"
"169",62496,68055,60018,58453,58894,68035,68121,75819,72262,62537,60474,62091,64511,70571,301.953846153846,62902.2747252747,0.324423690521579,19,"None"
"170",68055,60018,58453,58894,68035,68121,75819,72262,62537,60474,62091,64511,70571,68442,307.474725274726,63285.5824175824,0.228439808988675,23,"None"
"171",60018,58453,58894,68035,68121,75819,72262,62537,60474,62091,64511,70571,68442,73322,609.551648351649,61396.2197802198,0.0487449207397066,37,"None"
"172",58453,58894,68035,68121,75819,72262,62537,60474,62091,64511,70571,68442,73322,64916,383.349450549452,63442.5934065934,0.154629751965815,27,"None"
"173",58894,68035,68121,75819,72262,62537,60474,62091,64511,70571,68442,73322,64916,54867,-203.090109890111,67584.7472527473,1,1,"None"
"174",68035,68121,75819,72262,62537,60474,62091,64511,70571,68442,73322,64916,54867,56757,-705.228571428572,71198.1428571429,0.273561411724749,-21,"None"
"175",68121,75819,72262,62537,60474,62091,64511,70571,68442,73322,64916,54867,56757,66459,-619.42197802198,70442.021978022,0.324423690521579,-19,"None"
"176",75819,72262,62537,60474,62091,64511,70571,68442,73322,64916,54867,56757,66459,71854,-369.709890109891,68835.8241758242,0.661415917007863,-9,"None"
"177",72262,62537,60474,62091,64511,70571,68442,73322,64916,54867,56757,66459,71854,67455,-8.31208791208889,65527.9120879121,0.742556821926578,7,"None"
"178",62537,60474,62091,64511,70571,68442,73322,64916,54867,56757,66459,71854,67455,68721,308.758241758241,62896.9560439561,0.188887477539538,25,"None"
"179",60474,62091,64511,70571,68442,73322,64916,54867,56757,66459,71854,67455,68721,56182,-37.4681318681333,65039.7252747253,0.661415917007863,9,"None"
"180",62091,64511,70571,68442,73322,64916,54867,56757,66459,71854,67455,68721,56182,45548,-727.600000000001,69149.5714285714,0.584070366945506,-11,"None"
"181",64511,70571,68442,73322,64916,54867,56757,66459,71854,67455,68721,56182,45548,45529,-1299.35824175824,72254.7582417582,0.125311111389424,-29,"None"
"182",70571,68442,73322,64916,54867,56757,66459,71854,67455,68721,56182,45548,45529,58801,-1339.33626373626,72146.7362637363,0.0626981162609826,-35,"None"
"183",68442,73322,64916,54867,56757,66459,71854,67455,68721,56182,45548,45529,58801,54456,-1278.57802197802,70539.978021978,0.0626981162609826,-35,"None"
"184",73322,64916,54867,56757,66459,71854,67455,68721,56182,45548,45529,58801,54456,59358,-1077.11428571429,68380.1428571429,0.154629751965815,-27,"None"
